head_entity	relation	tail_entity
cancer	affects	family history
cancer	affects	work productivity
cancer	measurement_of	tumor stage
cancer	affects	mental health
cancer	causes	occupational exposure
cancer	causes	obesity
cancer	treats	surgery
dexamethasone	ingredient_of	hormone treatments
dexamethasone	part_of	hormone treatments
quercetin	causes	pharmacokinetics
cftr	affects	expression
cftr	measured_by	protein
cftr	measured_by	transcription
cftr	measured_by	tert-butylhydroquinone
cftr	measured_by	glutathione
prolactin	causes	gi hemorrhage
prolactin	causes	gi obstruction
factor structure	manifestation_of	anxiety symptoms
factor structure	manifestation_of	general population
covid-19	diagnoses	pulmonary function test
Alzheimer's disease	causes	cognitive decline
Alzheimer's disease	causes	memory loss
Alzheimer's disease	causes	dementia
Alzheimer's disease	causes	genetic factors
Alzheimer's disease	causes	brain changes
Alzheimer's disease	causes	amyloid plaques
Alzheimer's disease	causes	neurofibrillary tangles
Alzheimer's disease	causes	tau protein
Alzheimer's disease	causes	inflammation
Alzheimer's disease	causes	oxidative stress
Alzheimer's disease	causes	brain atrophy
il-8	associated_with	acute phase response
covid-19	interacts_with	coronaviruses
pre-eclampsia	interacts_with	pregnancy outcomes
pre-eclampsia	causes	pregnancy outcomes
pre-eclampsia	measured_by	pregnancy outcomes
pre-eclampsia	affects	pregnancy outcomes
pre-eclampsia	diagnoses	pregnancy complications
pre-eclampsia	causes	pregnancy complications
pre-eclampsia	associated_with	pregnancy complications
pre-eclampsia	measured_by	pregnancy complications
pre-eclampsia	manifestation_of	pregnancy complications
adrenal	myelolipoma	neoplasm
adrenal	myelolipoma	electron
adrenal	myelolipoma	autopsy
adrenal	myelolipoma	nodule
adrenal	myelolipoma	diagnosis
adrenal	myelolipoma	operation
adrenal	myelolipoma	metastatic
disease	diagnoses	diarrhea
disease	diagnoses	headache
disease	diagnoses	abdominal pain
disease	diagnoses	chest pain
disease	diagnoses	fever
disease	diagnoses	cough
disease	diagnoses	sore throat
disease	diagnoses	nasal congestion
disease	diagnoses	nausea
disease	diagnoses	vomiting
disease	diagnoses	constipation
disease	diagnoses	skin rash
disease	diagnoses	fatigue
disease	diagnoses	muscle pain
disease	diagnoses	joint pain
methotrexate	diagnoses	acute lymphoblastic leukemia
nicotinamide	causes	muscle fiber necrosis
nicotinamide	affects	muscle fiber necrosis
nicotinamide	measurement_of	biopsy
nicotinamide	manifestation_of	inflammation
nicotinamide	interacts_with	phagocytic cells
seronegative rheumatoid arthritis	causes	inflammation of the skin
abdominoplasty	causes	congenital defects
COVID-19	causes	acute respiratory disease
COVID-19	diagnoses	acute respiratory disease
drug	causes	drug interactions
drug	diagnoses	drug-induced hypersensitivity syndrome
drug	causes	drug-induced hepatitis
drug	manifestation_of	toxicity
drug	ingredient_of	excipient
stent graft	part_of	endovascular repair
stent graft	part_of	arteriovenous fistula
stent graft	part_of	subclavian artery aneurysm
coenzyme q10	ingredient_of	antifibrotic agents
aspergillus lentulus	causes	invasive aspergillosis
aspergillus lentulus	causes	opportunistic infection
yoga therapy	causes	skin disorders
yoga therapy	causes	eye disorders
yoga therapy	causes	mental health disorders
yoga therapy	causes	addiction
yoga therapy	causes	aging
yoga therapy	causes	infertility
yoga therapy	causes	premature aging
yoga therapy	causes	chronic pain
yoga therapy	causes	fatigue
yoga therapy	causes	anemia
yoga therapy	causes	osteoporosis
yoga therapy	causes	autoimmune disorders
yoga therapy	causes	cardiovascular disease
yoga therapy	causes	metabolic disorders
yoga therapy	causes	neurodegenerative disorders
adrenal gland	causes	hyperaldosteronism
adrenal gland	causes	pheochromocytoma
adrenal gland	causes	cushing's syndrome
adrenal gland	causes	cushing's disease
craniosynostosis	affects	combined treatment
craniosynostosis	affects	surgical indications
craniosynostosis	affects	embryology
craniosynostosis	affects	craniofacial surgery
cis-3-chloroacrylic acid dehalogenase	affects	kinetic studies
cis-3-chloroacrylic acid dehalogenase	diagnoses	kinetic studies
cis-3-chloroacrylic acid dehalogenase	ingredient_of	biomedical text
cis-3-chloroacrylic acid dehalogenase	part_of	biomedical text
cis-3-chloroacrylic acid dehalogenase	causes	kinetic studies
benzydamine	manifestation_of	inflammatory response
benzydamine	associated_with	oral administration
benzydamine	interacts_with	liver cells
benzydamine	ingredient_of	oral rinse
underweight	manifestation_of	renal outcome
klebsiella pneumoniae	part_of	cytosol
tuberculosis	causes	poor living conditions
tuberculosis	causes	tobacco smoking
tuberculosis	causes	alcohol abuse
tuberculosis	causes	malnutrition
tuberculosis	causes	social inequality
tuberculosis	causes	immunosuppression
tuberculosis	causes	overcrowding
tuberculosis	causes	low socioeconomic status
alzheimer's disease	part_of	public health
alzheimer's disease	causes	physiopathology
manganese	diagnoses	manganese deficiency
manganese	associated_with	manganese deficiency
manganese	causes	manganese deficiency
zileuton	part_of	pharmaceutical analysis
zileuton	associated_with	drug discovery
zileuton	treats	asthma
zileuton	ingredient_of	drug discovery
rsv	affects	mice
rsv	ingredient_of	respiratory tract infection
rsv	manifestation_of	lower respiratory tract infection
rsv	diagnoses	infection
sclerosing peritonitis	causes	autoimmune disorders
sclerosing peritonitis	affects	quality of life
sclerosing peritonitis	diagnoses	blood tests
sclerosing peritonitis	causes	viral infections
sclerosing peritonitis	affects	abdominal swelling
sclerosing peritonitis	causes	bacterial infections
migraine	part_of	headache
rotenone	inhibits	complex i
pulmonary adenomatosis	measurement_of	microscopic examination
pulmonary adenomatosis	ingredient_of	neoplastic cells
pulmonary adenomatosis	causes	microscopic examination
pulmonary adenomatosis	diagnoses	microscopic examination
fistula-in-ano	part_of	anal fistula
fistula-in-ano	affects	anal fistula
patient	diagnoses	chylomicronemia syndrome
patient	diagnoses	severe hypertriglyceridemia
percutaneous vertebroplasty	manifestation_of	vertebral compression fracture
percutaneous vertebroplasty	application_of	vertebroplasty
percutaneous vertebroplasty	ingredient_of	medical device
percutaneous vertebroplasty	part_of	medical procedure
percutaneous vertebroplasty	causes	vertebral compression fracture
percutaneous vertebroplasty	affects	vertebral compression fracture
percutaneous vertebroplasty	diagnoses	vertebral compression fracture
spin gap	diagnoses	transition
fatty acid	associated_with	schizophrenia
fatty acid	manifestation_of	anandamide
migraine without aura	manifestation	headache
tension-type headache	part_of	headache
migraine without aura	part_of	headache
migraine without aura	affects	headache
geminiviruses	diagnoses	plant diseases
geminiviruses	measurement_of	plant diseases
geminiviruses	manifestation_of	plant diseases
geminiviruses	ingredient_of	plant diseases
geminiviruses	causes	plant diseases
geminiviruses	affects	plant diseases
geminiviruses	part_of	plant diseases
geminiviruses	associated_with	plant diseases
paragonimus westermani	diagnoses	paragonimiasis
paragonimus westermani	ingredient_of	paramyosin
visual crowding	affects	visual perception
hsv	causes	herpetic encephalitis
hsv	causes	herpetic meningoencephalitis
coronary artery disease	treats	percutaneous coronary intervention
coronary artery disease	diagnoses	angiography
alpha-synuclein	causes	amyloid fibril formation
alpha-synuclein	causes	Lewy bodies
alpha-synuclein	causes	neurodegenerative disorder
lateral retinacular release	interacts_with	knee joint
lateral retinacular release	diagnoses	knee instability
lateral retinacular release	treats	knee instability
lateral retinacular release	associated_with	knee pain
lateral retinacular release	manifestation_of	knee pain
lateral retinacular release	part_of	knee surgery
lateral retinacular release	causes	knee dislocation
vin	affects	dissolution test
vin	ingredient_of	physical mixtures
anguilla	eel	genetic variation
anguilla	eel	genetic differentiation
anguilla	eel	genetic identity
anguilla	eel	genetic relationship
anguilla	eel	genetic structure
ctpa	ingredient_of	photosynthetic characteristics
hemangiopericytoma	part_of	retroperitoneal cavity
urease	causes	uric acid nephrolithiasis
urease	causes	uric acid urolithiasis
macular degeneration	diagnoses	legal blindness
macular degeneration	ingredient_of	subfoveal choroidal neovascularization
macular degeneration	causes	subfoveal choroidal neovascularization
macular degeneration	associated_with	vision reduction
macular degeneration	measurement_of	visual acuity
macular degeneration	manifestation_of	subfoveal choroidal neovascularization
macular degeneration	part_of	retina
macular degeneration	affects	subfoveal choroidal neovascularization
aromatase inhibitors	ingredient_of	adjuvant therapy
aromatase inhibitors	associated_with	adjuvant therapy
recombination	causes	genetic variation
2-methyl-5-ht	interacts_with	ritanserin
2-methyl-5-ht	interacts_with	ondansetron
bisphosphonates	pharmacokinetic	absorption
bisphosphonates	pharmacokinetic	elimination
bisphosphonates	pharmacokinetic	paracellular transport
microglia	part_of	cns
mucinous tubular and spindle cell carcinoma	causes	renal dysfunction
mucinous tubular and spindle cell carcinoma	causes	renal impairment
mucinous tubular and spindle cell carcinoma	causes	renal damage
mucinous tubular and spindle cell carcinoma	causes	renal injury
mucinous tubular and spindle cell carcinoma	causes	renal disease
mucinous tubular and spindle cell carcinoma	causes	renal disorder
magnetic resonance imaging	measures	carotid artery
magnetic resonance imaging	measures	metallic foreign body
fever	part_of	sickness
fever	part_of	illness
fever	manifestation_of	dizziness
fever	manifestation_of	cough
fever	associated_with	fatigue
fever	manifestation_of	sore throat
fever	associated_with	nausea
fever	manifestation_of	headache
enzyme	measurement_of	enzyme activity
heart	causes	cardiac surgery
heart	causes	cardiovascular surgery
heart	causes	cardiovascular medicine
heart	causes	cardiac rehabilitation
heart	causes	cardiac catheterization
heart	causes	echocardiography
heart	causes	cardiac electrophysiology
heart	causes	cardiac imaging
cat	manifestation_of	thrombocytopenia
cushing's disease	causes	pituitary adenoma
ich	causes	intracranial hypotension
ampicillin	treats	bacterial meningitis
ampicillin	treats	bacterial sepsis
ampicillin	treats	bacterial endocarditis
ampicillin	treats	bacterial pneumonia
ampicillin	treats	bacterial urinary tract infections
mri	measurement_of	sagittal plane
mri	measurement_of	clinical findings
clinical examination	affects	autografts
mri	measurement_of	clinical examination
receptive field	affects	functional imaging
cytochrome p450	measurement_of	enzyme activity
cytochrome p450	part_of	liver function
cytochrome p450	interacts_with	xenobiotics
cytochrome p450	affects	xenobiotic metabolism
cytochrome p450	ingredient_of	liver tissue
cytochrome p450	causes	drug-induced liver injury
cytochrome p450	associated_with	drug-induced liver injury
cytochrome p450	manifestation_of	liver damage
transcriptional activators	causes	transcriptional activation
transcriptional activators	ingredient_of	yeast cells
transcriptional activators	affects	gene expression
transcriptional activators	ingredient_of	proteome
transcriptional activators	causes	transcriptional regulation
transcriptional activators	measured_by	genetic assay
ipratropium bromide	diagnoses	copd
brain	affected_by	leukoencephalopathy
brain	affected_by	necrosis
adrenal gland	causes	congenital adrenal hyperplasia
adrenal gland	causes	addison's disease
scn neurons	measurement_of	circadian rhythms
scn neurons	manifestation_of	circadian rhythms
scn neurons	interacts_with	neurotransmitters
mifepristone	diagnoses	alcohol use disorder
mifepristone	ingredient_of	pharmaceutical drug
mifepristone	measurement_of	blood alcohol concentration
mifepristone	part_of	medication
mifepristone	affects	alcohol consumption
mifepristone	interacts_with	glucocorticoid receptors
schizophrenia	interacts_with	neurotransmitter
feline infectious peritonitis	ingredient_of	coronavirus
feline infectious peritonitis	affects	vascular lesions
progesterone	causes	pregnancy
cellular mechanism	causes	vasoconstrictors
optic disc drusen	affects	optic discs
hops	ingredient_of	fish
anger	interacts_with	neuroimmunology
anger	interacts_with	neuroplasticity
anger	interacts_with	neuroinflammation
kato	affects	scrub typhus
polb	is a part of	dna damage repair
hydroxymethylfurfural	ingredient_of	hemoglobin
hydroxymethylfurfural	causes	hemoglobin
hydroxymethylfurfural	affects	hemoglobin
hydroxymethylfurfural	diagnoses	hemoglobin
lipase	diagnoses	poly(epsilon-caprolactone)
lipase	diagnoses	cyclic dicaprolactone
lipase	diagnoses	1,8-dioxacyclotetradecane-2,9-dione
fbi-1	causes	cancer cell proliferation
srebp-1	causes	cancer cell proliferation
sepsis	causes	multiorgan dysfunction syndrome
sepsis	causes	acute lung injury
sepsis	causes	acute respiratory distress syndrome
permease	causes	dehydrogenase activity
permease	treats	dehydrogenase activity
permease	ingredient_of	proteoliposomes
end-stage renal disease	part_of	chronic kidney disease
phenol	affects	compound
dioxin	affects	compound
lactobacillus	causes	vitamin B12 deficiency
gallbladder	diagnoses	acute and chronic cholecystitis
gallbladder	manifestation_of	hypocontractility
gallbladder	interacts_with	carbachol
drosophila melanogaster embryos	ingredient_of	protein isolation
drosophila melanogaster embryos	part_of	protein isolation
drosophila melanogaster embryos	diagnoses	protein isolation
drosophila melanogaster embryos	measurement_of	protein isolation
drosophila melanogaster embryos	manifestation_of	protein isolation
drosophila melanogaster embryos	associated_with	protein isolation
drosophila melanogaster embryos	interacts_with	protein isolation
drosophila melanogaster embryos	affects	protein isolation
drosophila melanogaster embryos	causes	protein isolation
neonate	affects	disease
corneal perforation	affects	disease
corneal perforation	part_of	disease
corneal perforation	manifestation_of	disease
corneal perforation	treats	disease
corneal perforation	diagnoses	disease
corneal perforation	causes	disease
copd	ingredient_of	chronic obstructive lung disease
copd	ingredient_of	chronic obstructive airway disease
cellular process	diagnoses	disease
progesterone	transformed_mixture	estrone
progesterone	transformed_mixture	antioxidant
prostate cancer	impacts	thymic involution
teeth	affects	gingiva
sweat gland carcinoma	causes	pathogenesis
sweat gland carcinoma	causes	prognosis
sweat gland carcinoma	causes	treatment
sweat gland carcinoma	causes	prevention
cytochrome p450 2e1	causes	parkinson's disease
cytochrome p450 2e1	part_of	enzyme
cytochrome p450 2e1	ingredient_of	enzyme
il-6	measured_by	elisa
il-6	manifestation_of	periodontal tissue destruction
il-6	causes	periodontal tissue destruction
il-6	affects	periodontal tissue destruction
il-6	diagnoses	periodontal disease
infant	ingredient_of	drinking water
infant	part_of	boiled water
infant	part_of	vaccination
infant	affects	methaemoglobin level
hypoxia	causes	muscle atrophy
hypoxia	associated_with	muscle atrophy
hypoxia	manifestation_of	muscle atrophy
hypoxia	diagnoses	muscle atrophy
head and neck squamous cell carcinoma	causes	tumor metastasis
cdna	measures	huperzine a
cdna	measures	transcriptome analysis
cdna	measures	molecular function
cdna	measures	biological process
cdna	measures	biochemical pathway
cdna	measures	alkaloids
cdna	measures	terpenoids
cdna	measures	acute bronchitis
cdna	measures	disease
cdna	measures	alzheimer's disease
cdna	measures	lycopodium alkaloids
disease	affects	nervous system
disease	affects	digestive system
disease	affects	urinary system
disease	affects	reproductive system
disease	affects	musculoskeletal system
disease	affects	ear
disease	affects	nose
disease	affects	throat
disease	affects	lungs
disease	affects	heart
disease	affects	blood vessels
pediatric cardiopulmonary resuscitation	causes	pediatric cardiac arrest
pediatric cardiopulmonary resuscitation	diagnoses	pediatric cardiac arrest
pediatric cardiopulmonary resuscitation	treats	pediatric cardiac arrest
pediatric cardiopulmonary resuscitation	affects	pediatric cardiac arrest
calcium pyrophosphate dihydrate deposition disease	affected_by	metabolic disorders
calcium pyrophosphate dihydrate deposition disease	affected_by	nutritional deficiencies
calcium pyrophosphate dihydrate deposition disease	affected_by	infections
calcium pyrophosphate dihydrate deposition disease	affected_by	immune complexes
calcium pyrophosphate dihydrate deposition disease	affected_by	autoimmune disorders
complement	causes	inflammatory response
gene	part_of	eif2gamma
gene	associated_with	eif2gamma
gene	causes	eif2gamma
gene	diagnoses	eif2gamma
gene	ingredient_of	eif2gamma
gene	affects	eif2gamma
gene	interacts_with	eif2gamma
gene	treats	eif2gamma
gene	measurement_of	eif2gamma
sedation	causes	oxygen desaturation
sedation	part_of	conscious sedation
sedation	interacts_with	oxygen supplementation
sedation	diagnoses	conscious sedation
dream	diagnoses	parasomnia
dream	diagnoses	hypersomnia
comt gene	affects	parkinson's disease
comt gene	diagnoses	parkinson's disease
comt gene	causes	parkinson's disease
comt gene	associated_with	parkinson's disease
comt gene	measurement_of	parkinson's disease
comt gene	manifestation_of	parkinson's disease
children	affects	caloric intake
retroperitoneal ganglioneuroma	treats	operation
cefamandole	hypotensive	drug
chromophobe renal cell carcinoma	diagnoses	renal neoplasm
chromophobe renal cell carcinoma	associated_with	poor prognosis
chromophobe renal cell carcinoma	interacts_with	immune system
chromophobe renal cell carcinoma	treats	surgery
hiv	ingredient_of	antiretroviral therapy
plasmablastic lymphoma	part_of	diffuse infiltrate
catl	ingredient_of	skeletal muscle
catl	diagnoses	starvation
catl	ingredient_of	muscle
ectoine	synthesized_by	ectoine synthase
frostbite	interacts_with	tissue
frostbite	part_of	injury
frostbite	ingredient_of	freezing
frostbite	measurement_of	complications
phosphate	interacts_with	alkaline phosphatase
pleural mesothelioma	causes	pleural effusions
pleural mesothelioma	causes	pleural thickening
pleural mesothelioma	causes	pleural calcification
pleural mesothelioma	causes	asbestosis
cold stress	affects	protein synthesis
cold stress	causes	cell cycle
black garlic	ingredient_of	food supplements
black garlic	ingredient_of	food additives
phospholipid metabolism	affects	phosphatidylcholine biosynthesis
mitochondrial dysfunction	affects	cellular respiration
mitochondrial dysfunction	affects	cellular homeostasis
mitochondrial dysfunction	affects	cellular survival
mitochondrial dysfunction	affects	cellular senescence
mitochondrial dysfunction	affects	cellular aging
mitochondrial dysfunction	affects	cellular function
laccase	measurement_of	laccase activity
krill oil	ingredient_of	dietary supplement
methysergide	causes	methylergometrine
hiv infection	diagnoses	hiv
hiv infection	causes	hiv transmission
hiv infection	affects	quality of life
hiv infection	affects	life expectancy
il-6	affects	immune response
cataract	causes	gender
cataract	causes	pregnancy
cataract	causes	eye surgery
cataract	causes	ocular inflammation
cataract	causes	cardiovascular disease
cataract	causes	hypertension
cataract	causes	hyperlipidemia
cataract	causes	obesity
cataract	causes	nutritional deficiencies
kidney transplantation	measured by	transplantation medicine
dogfish	ingredient_of	aqueous humor
dogfish	part_of	ciliary process
dogfish	interacts_with	carbonic anhydrase
dogfish	interacts_with	acetazolamide
vibrio parahaemolyticus	manifestation_of	diarrhea
trisomy	affects	cerebral vasculitis
graphium	ingredient_of	protein
graphium	measurement_of	specific growth rate
graphium	diagnoses	breast cancer
biofilm	manifestation_of	chronic infections
rabbit	lung	protein
mechanical stress	affects	cell surface
mechanical stress	affects	mechanical stimulation
mechanical stress	affects	hypertension
mechanical stress	affects	atherosclerosis
mechanical stress	affects	stroke
mechanical stress	affects	heart failure
prion protein	diagnoses	gerstmann-straussler-scheinker syndrome
prion protein	ingredient_of	amyloid
firocoxib	interacts_with	camels
firocoxib	affects	pharmacokinetics
firocoxib	diagnoses	pharmacokinetics
firocoxib	manifestation_of	pharmacokinetics
firocoxib	causes	pharmacokinetics
diabetes mellitus	affects	diabetic nephropathy
diabetes mellitus	affects	diabetic retinopathy
diabetes mellitus	affects	diabetic neuropathy
diabetes mellitus	affects	diabetic foot
diabetes mellitus	affects	diabetic complications
amoxicillin	treats	staphylococcal infections
amoxicillin	treats	streptococcal infections
infection	progresses	spontaneous bacterial peritonitis
irradiated mice	associated_with	cytokine therapy
irradiated mice	ingredient_of	cytokine therapy
irradiated mice	part_of	cytokine therapy
transcranial magnetic stimulation	measured	tms
psychopathy	measures	general intelligence
ttr	causes	amyloidosis
amyloidosis	diagnoses	amyloid cardiomyopathy
phacoemulsification	causes	ocular pathology
phacoemulsification	causes	ocular trauma
phacoemulsification	causes	ocular injury
phacoemulsification	causes	ocular inflammation
phacoemulsification	causes	ocular surgery
ckd	measured_by	clinical trials
fetuses	part_of	fetal blood
fetuses	affects	fetal blood sampling
fetuses	measurement_of	fetal blood
cytostatic drugs	ingredient_of	chemotherapy
cytostatic drugs	part_of	cancer treatment
cytostatic drugs	treats	cancer
cytostatic drugs	diagnoses	cancer
sars-cov-2	causes	severe acute respiratory syndrome coronavirus 2 infection
sars-cov-2	diagnoses	severe acute respiratory syndrome coronavirus 2 infection
iron	ingredient_of	ferric ammonium citrate
iron	ingredient_of	ferric ammonium sulfate
subcutaneous emphysema	affects	mediastinum
subcutaneous emphysema	ingredient_of	gas
subcutaneous emphysema	part_of	pneumothorax
subcutaneous emphysema	affects	respiratory system
subcutaneous emphysema	diagnoses	respiratory disorder
subcutaneous emphysema	ingredient_of	air
subcutaneous emphysema	part_of	lung
abortion	diagnoses	unintended pregnancy
iodothyronine	affects	depression
iodothyronine	affects	constipation
iodothyronine	affects	muscle weakness
iodothyronine	affects	anxiety
iodothyronine	affects	memory
iodothyronine	affects	concentration
iodothyronine	affects	sleep
iodothyronine	affects	sex drive
iodothyronine	affects	bones
iodothyronine	affects	teeth
iodothyronine	affects	eyes
iodothyronine	affects	skin
iodothyronine	affects	hair
iodothyronine	affects	weight loss
iodothyronine	affects	fatigue
malaria parasites	affects	plasmodium berghei
malaria parasites	diagnoses	plasmodium berghei
malaria parasites	ingredient_of	plasmodium berghei
malaria parasites	part_of	plasmodium berghei
malaria parasites	measured_by	plasmodium berghei
malaria parasites	manifestation_of	plasmodium berghei
malaria parasites	associated_with	plasmodium berghei
malaria parasites	causes	plasmodium berghei
neuropathic pain	affects	pain
inflammation	affects	pain
mechanosensation	affects	taste perception
nutrients	affects	metabolism
growth	affects	development
trpm5	affects	taste perception
senescence	diagnoses	cellular aging
cap-1	ingredient_of	pharmaceutical substance
cap-1	associated_with	hiv
syphilis	causes	dissociation
syphilis	causes	humanized mice
syphilis	causes	neomycin resistance
syphilis	causes	lox71
asbestos	manifestation_of	mesothelioma
cat	affects	pancreatic amylase secretion
liver	causes	liver diseases
liver	causes	liver fibrosis
liver	causes	liver tissue damage
liver	causes	liver dysfunction
liver	causes	liver regeneration
liver	causes	liver inflammation
liver	causes	liver injury
liver	causes	liver necrosis
meningococcal endotoxin	causes	septic shock
patient	affects	pulmonary arterial hypertension
patient	causes	pulmonary arterial hypertension
patient	measures	pulmonary arterial hypertension
patient	manifests	pulmonary arterial hypertension
patient	part_of	pulmonary arterial hypertension
patient	interacts_with	pulmonary arterial hypertension
patient	ingredient_of	pulmonary arterial hypertension
l-threonine	diagnoses	microbial fermentation
l-threonine	ingredient_of	microbial fermentation
l-threonine	part_of	microbial fermentation
l-threonine	measurement_of	microbial fermentation
l-threonine	manifestation_of	microbial fermentation
l-threonine	interacts_with	microbial fermentation
l-threonine	causes	microbial fermentation
l-threonine	affects	microbial fermentation
aorta	causes	cardiovascular disease
aorta	manifestation_of	narrowing of the aorta
aorta	treats	coarctation of the aorta
aorta	affects	blood pressure
aorta	diagnoses	aortic coarctation
hcc cell lines	ingredient_of	human hepatocellular carcinoma
hcc cell lines	measurement_of	gene expression profiles
hcc cell lines	part_of	human hepatocellular carcinoma
hcc cell lines	causes	human hepatocellular carcinoma
cat	associated_with	cardiac pain
hiv	causes	HIV transmission
hiv	treats	HIV infection
orbital fissure	part_of	eye
orbital fissure	part_of	head
orbital fissure	part_of	skull
nadh	ingredient_of	imaging agent
nadh	part_of	imaging protocol
nadh	diagnoses	subarachnoid hemorrhage
nadh	affects	cerebral blood flow
hereditary breast cancer	causes	genetic susceptibility
hereditary breast cancer	causes	genetic risk factors
hereditary breast cancer	causes	genetic abnormalities
envz	causes	signal transduction
envz	causes	transmembrane signal transduction
diaphragm	affects	respiratory muscle dysfunction
diaphragm	diagnoses	respiratory muscle dysfunction
diaphragm	part_of	respiratory muscle dysfunction
diaphragm	ingredient_of	respiratory muscle dysfunction
diaphragm	causes	respiratory muscle dysfunction
diaphragm	interacts_with	respiratory muscle dysfunction
heterotopic gastric cyst	affects	dorsum of the tongue
heterotopic gastric cyst	measurement_of	cystic swelling
heterotopic gastric cyst	manifestation_of	cystic swelling
heterotopic gastric cyst	ingredient_of	gastrointestinal tissue
heterotopic gastric cyst	interacts_with	surgical excision
organ	transmits	microbiological screening
smoking	associated_with	pulmonary dysfunction
smoking	associated_with	ultramarathon running
urinary incontinence	causes	postpartum incontinence
urinary incontinence	diagnoses	postpartum incontinence
urinary incontinence	part_of	postpartum incontinence
pethidine	affects	labour pain
pethidine	treats	labour pain
irp-1	affects	peroxynitrite
cla	causes	cardiovascular diseases
cla	causes	neurological disorders
cla	causes	mental health disorders
cla	causes	behavioral disorders
cla	causes	pain management
cla	causes	dermatological disorders
sars-cov-2	causes	COVID-19
radial forearm free flap	affects	patient satisfaction
radial forearm free flap	affects	donor site morbidity
cigarette smoking	affects	coronary artery disease
cigarette smoking	causes	myocardial infarction
virus	causes	2-mercaptoethanol
virus	causes	l-ascorbic acid
eudiplodinium maggii	ingredient_of	rumen
etc-1002	part_of	lipid and carbohydrate metabolism
omeprazole	causes	gastrointestinal mucosal necrosis
omeprazole	causes	gastrointestinal mucosal damage
calmodulin	overexpression	pancreatic beta cells
calmodulin	overexpression	diabetic nephropathy
pacap	part_of	neuropeptides
pacap	associated_with	thyrotropin-releasing hormone
total serum cholesterol	diagnoses	lipid disorders
alpha-linolenic acid	part_of	lipid metabolism
linseed oil	part_of	lipid metabolism
alpha-linolenic acid	causes	lipid metabolism
linseed oil	causes	lipid metabolism
cod liver oil	causes	lipid metabolism
infant	diagnoses	rickets
infant	diagnoses	osteomalacia
gout	causes	infection
gout	causes	inflammation
gout	causes	atherosclerosis
gout	causes	hyperlipidemia
gout	causes	smoking
maxillary canine	manifestation_of	dental anomaly
maxillary canine	ingredient_of	teeth
maxillary canine	treats	orthodontic management
maxillary canine	part_of	maxillary dentition
maxillary canine	manifestation_of	transposition
maxillary canine	causes	orthodontic treatment
brca1	causes	pancreatic cancer
brca1	causes	prostate cancer
brca1	causes	stomach cancer
brca1	causes	lung cancer
brca1	causes	skin cancer
brca1	causes	colon cancer
brca1	causes	endometrial cancer
brca1	causes	cervical cancer
brca1	causes	leukemia
brca1	causes	bladder cancer
brca1	causes	kidney cancer
brca1	causes	brain cancer
brca1	causes	thyroid cancer
brca1	causes	liver cancer
gad	affects	mood disorders
gad	affects	anxiety
gad	affects	anxiolytic effects
indoxyl sulfate	causes	kidney disease
indoxyl sulfate	ingredient_of	medicine
indoxyl sulfate	diagnoses	kidney disease
indoxyl sulfate	causes	kidney damage
indoxyl sulfate	causes	kidney failure
cystinosis	ingredient_of	cystine
cystinosis	causes	cystine accumulation
cystinosis	associated_with	nephropathic cystinosis
swede	ingredient_of	diet
preconditioning	causes	homeostatic plasticity
oak	interacts_with	expressed sequence tags
oak	interacts_with	blast
serum alkaline phosphatase	ingredient_of	aluminum
Sporotrichosis	antifungal_susceptibility_patterns	terbinafine
Sporotrichosis	antifungal_susceptibility_patterns	ketoconazole
Sporotrichosis	antifungal_susceptibility_patterns	itraconazole
Sporotrichosis	antifungal_susceptibility_patterns	fluconazole
Sporotrichosis	antifungal_susceptibility_patterns	voriconazole
cynomolgus monkeys	affects	astrocytes
cynomolgus monkeys	associated_with	neurofibrillary tangles
cynomolgus monkeys	measurement_of	microglial cells
cynomolgus monkeys	part_of	cerebrum
cynomolgus monkeys	affects	hippocampal region
cynomolgus monkeys	diagnoses	neurogenic disease
clinical trials	affects	clinical data
stemi	part_of	cardiovascular system
naftifine	measurement_of	plasma
naftifine	measurement_of	urine
naftifine	affects	plasma
naftifine	affects	urine
tuberculosis	affects	lymphadenopathy
curcumin	part_of	pigment
curcumin	diagnoses	inflammation
impact	causes	elevated co2 concentration
dna	extracts_from	chinese medicinal materials
patient	education	dental care
patient	education	oral hygiene
patient	education	dental health
patient	education	oral health
patient	education	oral behaviors
intestinal fibrosis	affects	myofibroblasts
intestinal fibrosis	diagnoses	inflammatory bowel diseases
microcystin-lr	causes	cyanobacteria
microcystin-lr	causes	public health
microcystin-lr	causes	toxin
eeg	part_of	neuroimaging
erp	part_of	neuroimaging
cryosurgery	affects	treatment
asic1	causes	hpv
asic1	causes	vascular remodeling
newborn	causes	respiratory distress syndrome
newborn	affects	respiratory system
legionella pneumophila	diagnoses	lung infection
legionella pneumophila	measurement_of	lipid hydrolysis
legionella pneumophila	affects	fatty acids
legionella pneumophila	causes	lipid hydrolysis
cdna	part_of	pharmacological studies
cdna	part_of	expression cloning
cdna	part_of	cos-7 cells
cdna	affects	expression cloning
melanin	diagnoses	hyperpigmentation
melanin	causes	skin cancer
arbuscular mycorrhizal fungi	diagnoses	polycyclic aromatic hydrocarbons
arbuscular mycorrhizal fungi	diagnoses	petroleum
arbuscular mycorrhizal fungi	diagnoses	pesticides
arbuscular mycorrhizal fungi	diagnoses	soil structure
